Symbol	Description
0P00009J3K	HDFC Mid-cap Opportunities Fund Growth
0P0000XV6P	Kotak Large & Midcap Direct Growth
0P0000XVOU	Tata Ethical Fund Direct Plan Growth
0P0000XVPU	Taurus Ethical Fund-direct Plan Growth
0P0000XW0O	Canara Robeco Large Cap Fund Direct Plan Growth
0P0000XW75	HDFC Focused Fund - Direct Plan - Growth Option
0P00011MAX	Axis Small Cap Fund Direct Growth
0P0001KMZ7	Invesco India Focused Fund Direct Growth
20MICRONS	20 Microns Limited
21STCENMGM	21st Century Management Services Limited
360ONE	360 ONE WAM LIMITED
360ONE.BL	360 ONE WAM LIMITED
3IINFO.RE	3IINFO.RE
3IINFOLTD	3i Infotech Limited
3MINDIA	3M India Limited
3PLAND	3P Land Holdings Limited
5PAISA	5paisa Capital Ltd
63MOONS	63 moons technologies limited
A2ZINFRA	A2Z Infra Engineering Limited
AAATECH	AAA Technologies Limited
AADHARHFC	Aadhar Housing Finance Ltd
AAKASH	Aakash Exploration Services Limited
AARADHYA.ST	Aaradhya Disposal Industries Limited
AAREYDRUGS	Aarey Drugs & Pharmaceuticals Limited
AARON	Aaron Industries Limited
AARTECH	Aartech Solonics Limited
AARTIDRUGS	Aarti Drugs Limited
AARTIIND	Aarti Industries Limited
AARTIPHARM	Aarti Pharmalabs Limited
AARTISURF	Aarti Surfactants Limited
AARVI	Aarvi Encon Limited
AATMAJ-SM	AATMAJ-SM
AAVAS	Aavas Financiers Limited
ABAN	Aban Offshore Limited
ABB	ABB India Limited
ABBOTINDIA	Abbott India Limited
ABCAPITAL	Aditya Birla Capital Limited
ABCAPITAL.BL	ADITYA BIRLA CAPIT
ABDL	Allied Blenders & Distillers Ltd
ABFRL	Aditya Birla Fashion and Retail Limited
ABGSEC	ABGSEC
ABHAPOWER.ST	Abha Power & Steel Ltd
ABINFRA	ABINFRA
ABLBL	ADITYA BIRLA LIFESTYLE BRANDS LTD
ABMINTLLTD	ABM International Limited
ABREL	Aditya Birla Real Estate Limited
ABSLAMC	Aditya Birla Sun Life AMC Limited
ABSLBANETF	Aditya Birla Sun Life Nifty Bank ETF
ABSLFTTJRN.MF	ABSLFTTJRN.MF
ABSLLIQUID	ABSLLIQUID
ABSLNN50ET	Aditya BSL Nifty Next 50 ETF
ABSLPSE	ABSLPSE
ABSMARINE-SM	ABS Marine Services Ltd
ACC	ACC Limited
ACCELYA	Accelya Solutions India Limited
ACCENTMIC.ST	ACCENTMIC.ST
ACCPL-SM	ACCPL-SM
ACCURACY	Accuracy Shipping Limited
ACE	Action Construction Equipment Limited
ACEINTEG	Ace Integrated Solutions Limited
ACI	Archean Chemical Industries Limited
ACL	Andhra Cements Limited
ACMESOLAR	ACME Solar Holdings Limited
ACTIVEINFR-SM	ACTIVEINFR-SM
ACUTAAS	ACUTAAS CHEMICALS LTD
ADANIENPP.E1	Adani Enterprises Ltd Partly Paidup
ADANIENSOL	Adani Energy Solutions Limited
ADANIENT	Adani Enterprises Limited
ADANIENT.BL	ADANIENT.BL
ADANIGREEN	Adani Green Energy Limited
ADANIPORTS	Adani Ports and Special Economic Zone Limited
ADANIPORTS.BL	ADANI PORT SPECIAL
ADANIPOWER	Adani Power Limited
ADANIPOWER.BL	ADANI POWER LTD
ADANIPOWER.T0	ADANIPOWER.T0
ADDICTIVE.SM	ADDICTIVE.SM
ADFFOODS	ADF Foods Limited
ADL	Archidply Decor Limited
ADOR	Ador Welding Limited
ADROITINFO	Adroit Infotech Limited
ADSL	Allied Digital Services Limited
ADVANIHOTR	Advani Hotels & Resorts (India) Limited
ADVENTHTL	Advent Hotels International Limited
ADVENZYMES	Advanced Enzyme Technologies Limited
AEGISLOG	Aegis Logistics Limited
AEGISVOPAK	Aegis Vopak Terminals Ltd
AEGISVOPAK.BL	AEGISVOPAK.BL
AEROENTER	Aeroflex Enterprises Limited
AEROFLEX	Aeroflex Industries Limited
AERON-SM	AERON-SM
AETHER	Aether Industries Limited
AFCONS	AFCONS INFRASTRUCTURE LTD
AFFLE	Affle (India) Limited
AFFORDABLE	Affordable Robotic & Automation Limited
AFIL	Akme Fintrade India Ltd
AFSL	Abans Financial Services Limited
AGARIND	Agarwal Industrial Corporation Limited
AGARWALEYE	AGARWALEYE
AGARWALEYE.BL	AGARWALEYE.BL
AGARWALFT-SM	AGARWALFT-SM
AGI	AGI Greenpac Limited
AGIIL	AGI Infra Limited
AGNI	AGNI
AGNI.ST	AGNI GREEN POWER L
AGRITECH	Agri-Tech (India) Limited
AGROPHOS	Agro Phos India Limited
AGSTRA	AGS Transact Technologies Limited
AGUL-SM	AGUL-SM
AHLADA	Ahlada Engineers Limited
AHLEAST	Asian Hotels (East) Limited
AHLUCONT	Ahluwalia Contracts (India) Limited
AIAENG	AIA Engineering Limited
AIIL	AUTHUM INVESTMENT & INFRASTRUCTU ORD (BSE)
AIMTRON-SM	AIMTRON-SM
AIRAN	Airan Limited
AIROLAM	Airo Lam limited
AISL-SM	AISL-SM
AJANTPHARM	Ajanta Pharma Limited
AJAXENGG	AJAXENGG
AJMERA	Ajmera Realty & Infra India Limited
AJOONI	Ajooni Biotech Limited
AKANKSHA	Akanksha Power and Infrastructure Ltd
AKASH	Akash Infra-Projects Limited
AKG	Akg Exim Limited
AKI	AKI India Limited
AKIKO.ST	Akiko Global Services L
AKSHAR	Akshar Spintex Limited
AKSHARCHEM	AksharChem India Limited
AKSHOPTFBR	Aksh Optifibre Limited
AKUMS	Akums Drugs and Pharmaceutical
AKUMS.BL	AKUMS.BL
AKZOINDIA	Akzo Nobel India Limited
ALANKIT	Alankit Limited
ALBERTDAVD	Albert David Limited
ALEMBICLTD	Alembic Limited
ALICON	Alicon Castalloy Limited
ALIVUS	Alivus Life Sciences Limited
ALKALI	Alkali Metals Limited
ALKEM	Alkem Laboratories Limited
ALKYLAMINE	Alkyl Amines Chemicals Limited
ALLCARGO	Allcargo Logistics Limited
ALLDIGI	Alldigi Tech Limited
ALLETEC-SM	ALLETEC-SM
ALLTIME	ALLTIME
ALMONDZ	Almondz Global Securities Limited
ALOKINDS	Alok Industries Limited
ALPA	Alpa Laboratories Limited
ALPEXSOLAR-SM	ALPEXSOLAR-SM
ALPHA	ALPHA
ALPHAETF	ALPHAETF
ALPHAGEO	Alphageo (India) Limited
ALPL30IETF	ALPL30IETF
ALPSINDUS	Alps Industries Limited
AMAGI	Amagi Media Labs Ltd
AMBANIORGO-SM	AMBANIORGO-SM
AMBER	Amber Enterprises India Limited
AMBER.BL	AMBER ENTERPRISES
AMBEY-SM	AMBEY-SM
AMBICAAGAR	Ambica Agarbathies & Aroma industries Limited
AMBIKCO	Ambika Cotton Mills Limited
AMBUJACEM	Ambuja Cements Limited
AMCL.ST	ANB Metal Cast Limited
AMDIND	AMD Industries Limited
AMEYA-SM	AMEYA-SM
AMIORG.BL	AMI ORGANICS LIMITED
AMJLAND	Amj Land Holdings Limited
AMNPLST	Amines & Plasticizers Limited
AMRUTANJAN	Amrutanjan Health Care Limited
ANANDRATHI	Anand Rathi Wealth Limited
ANANTAM-IV	ANANTAM-IV
ANANTRAJ	Anant Raj Limited
ANANTRAJ.BL	ANANTRAJ.BL
ANDHRAPAP	ANDHRA PAPER LIMITED
ANDHRSUGAR	The Andhra Sugars Limited
ANGELONE	Angel One Limited
ANIKINDS	Anik Industries Limited
ANKITMETAL	Ankit Metal & Power Limited
ANMOL	Anmol India Limited
ANNAPURNA-SM	ANNAPURNA-SM
ANONDITA.ST	Anondita Medicare Limited
ANSALAPI	Ansal Properties & Infrastructure Limited
ANTELOPUS	ANTELOPUS SELAN ENRGY LTD
ANTGRAPHIC	Antarctica Limited
ANTHEM	Anthem Biosciences Ltd
ANUHPHR	Anuh Pharma Limited
ANUHPHR.BL	ANUHPHR.BL
ANUP	The Anup Engineering Limited
ANURAS	Anupam Rasayan India Limited
ANYA-SM	ANYA-SM
AONELIQUID	Angel One Mutual Fund - Nifty 1D Rate Liquid Etf Growth
AONENIFTY	Angel One Asset Management Co. Ltd. - Angel One Nifty 50 ETF
AONETOTAL	Angel One Mutual Fund - Angel One Nifty Total Market Etf
APARINDS	Apar Industries Limited
APCL	Anjani Portland Cement Limited
APCOTEXIND	Apcotex Industries Limited
APEX	Apex Frozen Foods Limited
APLAPOLLO	APL Apollo Tubes Limited
APLLTD	Alembic Pharmaceuticals Limited
APOLLO	Apollo Micro Systems Limited
APOLLO.BL	APOLLO.BL
APOLLOHOSP	Apollo Hospitals Enterprise Limited
APOLLOPIPE	Apollo Pipes Limited
APOLLOTYRE	Apollo Tyres Limited
APOLSINHOT	Apollo Sindoori Hotels Limited
APTECHT	Aptech Limited
APTUS	Aptus Value Housing Finance India Limited
APTUS.BL	Aptus Value Hsg Fin I Ltd
AQYLON	Aqylon Nexus Limited
ARABIAN-SM	ARABIAN-SM
ARCHIDPLY	Archidply Industries Limited
ARCHIES	Archies Limited
ARE&M	Amara Raja Batteries Limited
ARENTERP	Rajdarshan Industries Limited
ARFIN	Arfin India Limited
ARHAM-SM	ARHAM-SM
ARIES	Aries Agro Limited
ARIHANTACA-SM	ARIHANTACA-SM
ARIHANTACA.ST	ARIHANT ACADEMY LIMITED
ARIHANTCAP	Arihant Capital Markets Limited
ARIHANTSUP	Arihant Superstructures Limited
ARKADE	Arkade Developers Ltd
ARMANFIN	Arman Financial Services Limited
AROGRANITE	Aro Granite Industries Limited
ARROWGREEN	Arrow Greentech Limited
ARSHIYA	Arshiya Limited
ARSSBL	ANAND RATHI SH N STK BR L
ARSSINFRA	ARSS Infrastructure Projects Limited
ARTEMISMED	Artemis Medicare Services Limited
ARTNIRMAN	Art Nirman Limited
ARUNAYA.ST	ARUNAYA ORGANICS LIMITED
ARVEE	Arvee Laboratories (India) Limited
ARVIND	Arvind Limited
ARVINDFASN	Arvind Fashions Limited
ARVSMART	Arvind SmartSpaces Limited
ASAHIINDIA	Asahi India Glass Limited
ASAHISONG	Asahi Songwon Colors Limited
ASAL	Automotive Stampings and Assemblies Limited
ASALCBR	Associated Alcohols & Breweries Ltd.
ASCOM.ST	Ascom Leasing & Investments Ltd.
ASHALOG-SM	ASHALOG-SM
ASHAPURMIN	Ashapura Minechem Limited
ASHIANA	Ashiana Housing Limited
ASHIMASYN	Ashima Limited
ASHOKA	Ashoka Buildcon Limited
ASHOKAMET	Ashoka Metcast Limited
ASHOKLEY	Ashok Leyland Limited
ASHOKLEY.T0	ASHOK LEYLAND
ASHOKLEY.TL	ASHOKLEY.TL
ASHWINI.SM	Ashwini Container Movers Limited
ASIANENE	Asian Energy Services Limited
ASIANHOTNR	Asian Hotels (North) Limited
ASIANPAINT	Asian Paints Limited
ASIANPAINT.BL	ASIAN PAINTS LTD
ASIANTILES	Asian Granito India Limited
ASKAUTOLTD	ASK AUTOMOTIVE LIMITED
ASLIND.ST	ASL INDUSTRIES LTD
ASMS	Bartronics India Limited
ASPINWALL	Aspinwall and Company Limited
ASTEC	Astec LifeSciences Limited
ASTEC.BL	ASTEC.BL
ASTERDM	Aster DM Healthcare Limited
ASTERDM.BL	ASTERDM.BL
ASTRAL	Astral Limited
ASTRAMICRO	Astra Microwave Products Limited
ASTRAZEN	AstraZeneca Pharma India Limited
ASTRON	Astron Paper & Board Mill Limited
ATALREAL	Atal Realtech Limited
ATAM	ATAM VALVES ORD (BSE)
ATCENERGY-SM	ATCENERGY-SM
ATGL	Adani Total Gas Limited
ATHERENERG	Ather Energy Limited
ATHERENERG.BL	ATHERENERG.BL
ATL	Allcargo Terminals Ltd
ATL.RE	ATL.RE
ATLANTAA	Atlantaa Limited
ATLANTAELE	ATLANTA ELECTRICALS LTD
ATLASCYCLE	Atlas Cycles (Haryana) Limited
ATLPP.E1	Allcargo Terminals Limited Partly Paid-Up
ATMASTCO-SM	ATMASTCO-SM
ATUL	Atul Limited
ATULAUTO	Atul Auto Limited
AUBANK	AU Small Finance Bank Limited
AUBANK.BL	AU SMALL FINANCE B
AURDIS.SM	AURANGABAD DISTILL
AURIONPRO	Aurionpro Solutions Limited
AUROIMPEX-SM	AUROIMPEX-SM
AUROPHARMA	Aurobindo Pharma Limited
AUROPHARMA.BL	AUROBINDO PHARMA
AURUM	Aurum PropTech Limited
AUSL.ST	ADITYA ULTRA STEEL LTD
AUSOMENT	Ausom Enterprise Limited
AUTOAXLES	Automotive Axles Limited
AUTOBEES	AUTOBEES
AUTOIETF	AUTOIETF
AUTOIND	Autoline Industries Limited
AVADHSUGAR	Avadh Sugar & Energy Limited
AVALON	AVALON TECHNOLOGIES LTD
AVANTEL	Avantel Limited
AVANTIFEED	Avanti Feeds Limited
AVG	AVG Logistics Limited
AVIANSH-SM	AVIANSH-SM
AVL	ADITYA VISION LTD
AVONMORE	Avonmore Capital & Management Services Limited
AVPINFRA-SM	AVPINFRA-SM
AVROIND	AVRO INDIA LIMITED
AVSL.SM	AVSL INDUSTRIES LT
AVTNPL	AVT Natural Products Limited
AWFIS	Awfis Space Solutions Ltd
AWHCL	Antony Waste Handling Cell Limited
AWL	Adani Wilmar Limited
AXISBANK	Axis Bank Limited
AXISBNKETF	Axis NIFTY Bank ETF
AXISBPSETF	Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF
AXISCADES	AXISCADES Technologies Limited
AXISCETF	Axis NIFTY India Consumption ETF
AXISHCETF	Axis NIFTY Healthcare ETF
AXISILVER	AXISILVER
AXISNIFTY	Axis Mutual Fund - Axis Nifty ETF
AXISTECETF	Axis NIFTY IT ETF
AXISVALUE	Axis Amc Ltd. - Axis Mutual Fund - Axis Nifty500 Value 50 ETF
AXITA	Axita Cotton Limited
AXSENSEX	AXSENSEX
AYMSYNTEX	AYM Syntex Limited
AZAD	Azad Engineering Limited
BABAFP-SM	BABAFP-SM
BAFNAPH	Bafna Pharmaceuticals Limited
BAGDIGITAL.ST	B.A.G. Convergence Limited
